,left_context,right_context,DISAGREE,value,AREA,AREA (reassessed by Kwame from Seitu feedback),Theme convereted areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,NUMBER ROW SUMMARIZED,,,,,,
14869,,,,"How will you ensure your work is carried out safely during the
    global COVID-19 pandemic? How will you ensure your project adapts as
    time passes to take into account the evolution of the spread of
    COVID-19 in your community and the changing guidelines from local
    authorities on how to work safely",How has COVID-19 impacted your work,How has COVID-19 impacted your work,How has COVID-19 impacted your work,,340,,0.44,&&&,,,,,,,,,,,
14870,COVID-19 Impact,,,"How might the delivery of current programming/operations be impacted by the Coronavirus pandemic, if at all?",How has COVID-19 impacted your work,How has COVID-19 impacted your work,How has COVID-19 impacted your work,,341,,0.44,&&&,,,,,,,,,,,
14873,,,X,"What skills and qualities do you have that mean that you are well
    suited to effectively address this issue","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,343,,0.44,&&&,,,,,,,,,,,
14884,Measurement and Evaluation,"Please specify (a) the learning/evaluation questions for this project and how you plan to answer them through monitoring, measurement, and/or evaluation; (b) the resources (financial, technical, human) that you need to ensure high quality data.",,"Describe your plan for monitoring, measurement, and evaluation of
    the outputs and outcomes.","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,349,,0.44,&&&,,,,,,,,,,,
14887,,,,"How will you know if the proposed solution is making progress on
      achieving equity","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,351,,0.44,&&&,,,,,,,,,,,
14888,,,,Please explain how the efforts described above might impact the broader social good,Requested grant funding,What the Organization Does,What the Organization Does,,352,,0.44,&&&,,,,,,,,,,,
14889,,"WE ENCOURAGE YOU TO THINK BIG ABOUT SHIFTS YOU COULD CREATE IN SYSTEMS AND STRUCTURES. AS PART OF YOUR ANSWER, PLEASE PROVIDE A LIST OF SOME SPECIFIC RESULTS YOU HOPE TO ACHIEVE THROUGH YOUR PROJECT OR INITIATIVE (WHAT WOULD INCREASE, DECREASE, IMPROVE, ETC.).",,"IF YOUR IDEA WORKS, HOW WOULD IT BE TRANSFORMATIVE?",Requested grant funding,What the Organization Does,What the Organization Does,,353,,0.44,&&&,,,,,,,,,,,
14890,,,,How does your approach increase access to opportunities that advance upward mobility? How do you know if you are making a difference,Requested grant funding,What the Organization Does,What the Organization Does,,354,,0.44,&&&,,,,,,,,,,,
14891,,,,What is your approach to addressing barriers that hold inequities in place,What the Organization Does,What the Organization Does,What the Organization Does,,355,,0.44,&&&,,,,,,,,,,,
14892,,,,"DESCRIBE HOW YOUR REQUEST ALIGNS TO THE STRATEGIC THEMES OF INVESTING IN
THE NEXT GENERATION, RACIAL EQUITY, AND/OR ECONOMIC MOBILITY",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,356,,0.44,&&&,,,,,,,,,,,
14893,,,,Racial Equity Approach,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,357,,0.44,&&&,,,,,,,,,,,
14894,,,,"If applicable, describe your strategies for sustaining this effort",Requested grant funding,What the Organization Does,What the Organization Does,,358,,0.44,&&&,,,,,,,,,,,
14895,,,,"What are the media strategies you will employ regarding the progress, actions, and
strategies of this grant",Requested grant funding,What the Organization Does,What the Organization Does,,359,,0.44,&&&,,,,,,,,,,,
14898,Proposal Description What does the organization hope to accomplish by taking these actions?,,,How can it be scaled up?,Requested grant funding,What the Organization Does,What the Organization Does,,361,,0.44,&&&,,,,,,,,,,,
14899,,,,How will these risks/challenges be addressed or minimized,What the Organization Does,What the Organization Does,What the Organization Does,,362,,0.44,&&&,,,,,,,,,,,
14900,,,,What are the key steps to accomplishing this,Requested grant funding,What the Organization Does,What the Organization Does,,363,,0.44,&&&,,,,,,,,,,,
14901,,,,"How do you recognize/celebrate the gifts/talents of the communities
  you support",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,364,,0.44,&&&,,,,,,,,,,,
14906,,,,Describe the logic model as applied to this project,Requested grant funding,"Data Handling, Overview, Measurement, Evaluation and Reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,367,,0.44,&&&,,,,,,,,,,,
14907,,,,"Describe why this approach best meets the needs of the population served. If
the approach is based on a best practice model, describe it. Or, if you developed
your own unique approach to this work, describe how that occurred",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,368,,0.44,&&&,,,,,,,,,,,
14908,Creativity or Innovation,,,Explain how this program/project meets the purposes of a <REDACTED>.,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,369,,0.44,&&&,,,,,,,,,,,
14909,,,,"DESCRIBE THE PEOPLE LEADING THIS EFFORT. 

WHAT ARE THEIR ROLES AND RELATIONSHIPS TO THE PROJECT OR INITIATIVE?

HOW WILL THEY WORK WELL TOGETHER?",Requested Grant Funding Related,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,370,,0.44,&&&,,,,,,,,,,,
14910,,,,Who will lead the proposed project/program and how are they qualified,Requested grant funding,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,371,,0.44,&&&,,,,,,,,,,,
14911,,,,"Describe the work the subawardee is going to perform, what selection
    process was used, how the sub-budgets were negotiated, and what the
    key cost drivers are",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,372,,0.44,&&&,,,,,,,,,,,
14914,,,,"How have the individuals experiencing the inequity been engaged in
    creating the proposed solution and what leadership role will they
    play throughout the implementation and evaluation",Requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,374,,0.44,&&&,,,,,,,,,,,
14915,,,,"If your organization is not led by people of color, how are people
    of color sharing in the leadership of the proposed solution? If
    people of color are not sharing in the leadership, why not",Requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,375,,0.44,&&&,,,,,,,,,,,
14916,,,,PLEASE INDICATE WHY METRICS WERE NOT PROVIDED,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,376,,0.44,&&&,,,,,,,,,,,
14917,Availability of government funding sources,,,"If you are a school or government agency, please explain why funding is not available via government sources.",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,377,,0.44,&&&,,,,,,,,,,,
14920,,,,Why are you the right team to address this opportunity,Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,379,,0.44,&&&,,,,,,,,,,,
14921,,,,"How does this proposed solution disrupt the conditions (policies,
    practices, institutions, culture and power) that hold the inequity
    in place",Requested grant funding,What the Organization Does,What the Organization Does,,380,,0.44,&&&,,,,,,,,,,,
14922,,"This is an opportunity to expand on the Brief Need Statement above, if you wish. [NOT REQUIRED]",,THE PROBLEM – Why is this an important issue in which to invest in order to improve mental health and/or substance misuse in the City and County of <REDACTED>?,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,381,,0.44,&&&,,,,,,,,,,,
14923,,,,"What makes this a timely and important intervention to support this
    year",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,382,,0.44,&&&,,,,,,,,,,,
14924,PROPOSAL QUESTIONS,,,"WHY IS THIS PROJECT IMPORTANT AT THIS SPECIFIC MOMENT FOR THE COMMISSIONING INSTITUTION, THE ARTIST(S), THE COMMUNITIES ENGAGED, AND THE PLACE/LOCATION IN WHICH THE PRODUCTION AND PRESENTATION WILL TAKE PLACE?",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,383,,0.44,&&&,,,,,,,,,,,
14925,,,,"COMMUNITIES ENGAGED, AND
THE PLACE/LOCATION IN WHICH THE PRODUCTION AND PRESENTATION WILL TAKE
PLACE",Requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,384,,0.44,&&&,,,,,,,,,,,
14926,,,,"PLEASE PROVIDE A FULLY-DEVELOPED CONCEPT DETAILING THE COLLABORATION,
INCLUDING THE DEVELOPMENT OF THE COMMISSION, COMMUNITY PROGRAMMING AND
ENGAGEMENT, AND ARTISTIC PRACTICE AND PRODUCTION",Requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,385,,0.44,&&&,,,,,,,,,,,
14929,,,,"WHICH COMMUNITIES WILL THIS COMMISSION ENGAGE? AND HOW DOES THIS
COMMISSION BUILD ON EXISTING COMMUNITY ENGAGEMENT? WHAT DO YOU HOPE TO
ACHIEVE THROUGH COMMUNITY ENGAGEMENT",Requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,387,,0.44,&&&,,,,,,,,,,,
14930,,,,"What economic opportunities would the grant funds present to
  stakeholders of the community served? Hence, where is the money
  landing and is some of it landing within the community",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,388,,0.44,&&&,,,,,,,,,,,
14933,,,,"CHALLENGES: PLEASE SHARE POTENTIAL CHALLENGES THAT COULD ARISE THAT IMPACT YOUR TIMELINE, SUCCESS, SCALE, OR KEY ACTIVITIES. HOW WILL YOU ADAPT TO THESE CHALLENGES",What the Organization Does,What the Organization Does,What the Organization Does,,390,,0.44,&&&,,,,,,,,,,,
14934,,,X,"OVERVIEW OF ORGANIZATION’S ANNUAL GOALS: WHAT PART OF THE OVERALL CHALLENGE, OPPORTUNITY, ISSUE OR NEED IDENTIFIED ABOVE WILL YOU DURING THE FIRST 12 MONTHS OF THE GRANT? WHAT ACTIVITIES DO YOU PLAN TO PURSUE OR CARRY OUT","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,391,,0.44,&&&,,,,,,,,,,,
14937,,,,"What do you foresee as challenges (internally or externally) in reaching
these goals",What the Organization Does,What the Organization Does,What the Organization Does,,393,,0.44,&&&,,,,,,,,,,,
14949,,,,"Please briefly describe the specific issue(s) that your work
    addresses",What the Organization Does,What the Organization Does,What the Organization Does,,399,,0.44,&&&,,,,,,,,,,,
14958,,"What's going on in your world? What are you working on, what are you thinking about, what are you planning for? How are your clients, if you are an organization with clients, and how are your programs and projects going? Consider this the text-box equivalent of meeting up with us for a super informal cup of coffee (which, when public health situations allow us to do so again, we'd love to do!) or a phone call or Zoom catch-up. It's open- ended on purpose (there are no wrong answers!); we just want to hear how things are going in your world.",,What's going on?,Partnership and Community,What the Organization Does,What the Organization Does,,404,,0.44,&&&,,,,,,,,,,,
14959,,,X,WHAT INTERESTS AND/OR INSPIRES YOU ABOUT THIS PARTICULAR COMMISSION,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,405,,0.44,&&&,,,,,,,,,,,
14960,,,X,"HOW WILL THIS COMMISSION ALLOW YOU TO BUILD ON, STRETCH, DEEPEN, OR
NUANCE YOUR ARTISTIC PRACTICE",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,406,,0.44,&&&,,,,,,,,,,,
14964,,,X,"Do you use a panel, artistic staff, or a combination of both",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,408,,0.44,&&&,,,,,,,,,,,
14970,,,,"ARTISTS WILL THE ORGANIZATION
DRAW UPON FOR THIS COLLABORATION",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,411,,0.44,&&&,,,,,,,,,,,
14971,,,,WHAT IS THE INITIAL CONCEPT AND PLAN FOR THE ARTIST COMMISSION,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,412,,0.44,&&&,,,,,,,,,,,
14972,,,X,HOW AND WHEN IS THE OPPORTUNITY ANNOUNCED TO ARTISTS,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,413,,0.44,&&&,,,,,,,,,,,
14975,,,,"PLEASE DESCRIBE THE PROCESS AND RATIONALE, INCLUDING INFORMATION ON WHO SELECTS THE ARTISTS AND THEIR QUALIFICATIONS",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,415,,0.44,&&&,,,,,,,,,,,
14976,,,,"PLEASE LIST THE EARLY CAREER ARTISTS SUPPORTED IN THIS PROGRAM OVER THE
LAST THREE YEARS AND TALK ABOUT THE IMPACT OF THE PROGRAM ON THEIR
CAREERS",What the Organization Does,What the Organization Does,What the Organization Does,,416,,0.44,&&&,,,,,,,,,,,
14977,,,X,NUMBER OF EARLY CAREER ARTISTS PER YEAR TO BE SERVED BY THE PROGRAM,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,417,,0.44,&&&,,,,,,,,,,,
14978,,,X,"HOW DOES THE PROGRAM(S) FOR WHICH YOU ARE REQUESTING SUPPORT ADDRESS THE
NEEDS OF EARLY CAREER ARTISTS",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,418,,0.44,&&&,,,,,,,,,,,
14979,DETAILED PROGRAM BUDGET,,X,"Please upload a PDF of a detailed program budget that includes
  information on the number of artists served, direct payments to
  artists, services to artists and institutional support.",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,419,,0.44,&&&,,,,,,,,,,,
14980,,,,ARTISTIC DISCIPLINE(S) SUPPORTED BY THE PROGRAM(S),What the Organization Does,What the Organization Does,What the Organization Does,,420,,0.44,&&&,,,,,,,,,,,
14997,,,X,COMPLETE ARTIST(S) BIOGRAPHY,Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,427,,0.44,&&&,,,,,,,,,,,
15000,,,,How Is Your Current Technology Hindering You From Achieving Your Mission,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,429,,0.44,&&&,,,,,,,,,,,
15001,,,,"For technology support, describe how technology will improve program delivery for
your organization","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,430,,0.44,&&&,,,,,,,,,,,
15002,,,,"PLEASE LIST ANY BACKGROUND TECHNOLOGY THAT WILL BE USED IN
THE PROJECT","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,431,,0.44,&&&,,,,,,,,,,,
15003,,,,"Do you foresee any obstacles to achieving Global Access (e.g.,
    third-party rights, restrictions on Background Technology, time
    frame, affordability)","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,432,,0.44,&&&,,,,,,,,,,,
15004,,,,"How will you ensure affordable and meaningful access to the Funded
    Developments and Background Technology, if any","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,433,,0.44,&&&,,,,,,,,,,,
15005,Does your project involve charging participants for goods or services?,,,"How do you know those charges are affordable and do you
        offer a sliding scale or other system to ensure they are
        accessible?",What the Organization Does,What the Organization Does,What the Organization Does,,434,,0.44,&&&,,,,,,,,,,,
15008,,,,"Are you asking us to fund any specific
activity/service or cost area in your
projected expenditure",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,436,,0.44,&&&,,,,,,,,,,,
15009,,,,"What you would like us to fund and why you are best placed to do
    this work",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,437,,0.44,&&&,,,,,,,,,,,
15016,,,,"Please describe what you will use
the funding for",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,440,,0.44,&&&,,,,,,,,,,,
15026,,,,"What is one story that is related to this project that would help us
    understand the transformation that you’re hoping to see in your
    beneficiaries",Partnership and Community,What the Organization Does,What the Organization Does,,445,,0.44,&&&,,,,,,,,,,,
15029,,,,How did you hear about us,How did you hear of us,How did you hear of us,How did you hear of us,,447,,0.44,&&&,,,,,,,,,,,
15030,,,,Where did you hear about the <REDACTED> Trust,How did you hear of us,How did you hear of us,How did you hear of us,,448,,0.44,&&&,,,,,,,,,,,
15033,,,,"How did the organization learn about this opportunity to apply for a
grant at the <REDACTED> Foundation for the Environment",How did you hear of us,How did you hear of us,How did you hear of us,,450,,0.44,&&&,,,,,,,,,,,
15034,,,X,"Are you applying to one of the Foundation's supporting organizations (<REDACTED>, <REDACTED>, <REDACTED>, or the <REDACTED>?",Miscellaneous,Miscellaneous,Miscellaneous,,451,,0.44,&&&,,,,,,,,,,,
15035,,,,HOW MUCH ARE YOU REQUESTING FROM THE <REDACTED> FOUNDATION FOR THIS WORK,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,452,,0.44,&&&,,,,,,,,,,,
15038,,,,"Please briefly tell us how funds from the <REDACTED> Foundation will
  be used",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,454,,0.44,&&&,,,,,,,,,,,
15043,,,,"How might you share or disseminate any learning/insights from your
    project with ministries trying to do similar work","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,457,,0.44,&&&,,,,,,,,,,,
15054,"We must know that any grant from the <REDACTED> would be directed only at <REDACTED> residents from verifiably low-income households. That means households dependent on out of work benefits or in receipt of tax credits or with no recourse to public funds. If <REDACTED> is funding X% of a project or service, then that same X% of the beneficiaries of the project or service must meet <REDACTED> criteria: low income <REDACTED> residents.",,,How would you verify low income status?,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,462,,0.44,&&&,,,,,,,,,,,
15055,,,,How would you target low-income <REDACTED> residents,Requested grant funding,What the Organization Does,What the Organization Does,,463,,0.44,&&&,,,,,,,,,,,
15058,,,,"HOW DO YOU PLAN TO USE TRUST DOLLARS (STAFF, SUPPLIES, TRAVEL, ETC.)",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,465,,0.44,&&&,,,,,,,,,,,
15059,,,,"What is the total cost of the project for which you are applying for
funding",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,466,,0.44,&&&,,,,,,,,,,,
15060,QUESTIONS ABOUT YOUR BUDGET,,,"-   FOR ORGANIZATIONS/GROUPS: What is your annual budget for ALL your  work, not just the project for which you are requesting funding from TPP?","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts","Organizational Budgeting, Revenue Practices, and Forecasts",,467,,0.44,&&&,,,,,,,,,,,
15065,Performance Indicators (Evaluation) We are interested in the data that are most important for you in your learning and monitoring progress with this project. The performance indicators section should capture your answers to three questions:,,,"(1) How much did we do? 
(2) How well did we do it? 
(3) Is anyone better off as a result of our project?","Data handling, overview, and reporting",What the Organization Does,What the Organization Does,,470,,0.44,&&&,,,,,,,,,,,
15066,,,,"Is anyone better off as
a result of our project","Data handling, overview, and reporting",What the Organization Does,What the Organization Does,,471,,0.44,&&&,,,,,,,,,,,
15071,,,,"For budget narratives and similar materials, or items requested by your program officer. Please do not attach
newsletters or clippings",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,473,,0.44,&&&,,,,,,,,,,,
15078,,,,"If your program or project serves a community or group that is not listed above, please share
that information with us",Requested grant funding,Collaborative Partnerships and Community Support,Collaborative Partnerships and Community Support,,476,,0.44,&&&,,,,,,,,,,,
15079,Strategic Partnerships,,,"Explain if there are other organizations, businesses, or groups working on a similar project or offering a similar program or service.",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,477,,0.44,&&&,,,,,,,,,,,
15082,Program Area:,,,"Mark the ONE program area that best applies to this PROPOSAL:

Arts & Culture
Environment/Animals
Education & Youth Development
Human Services
Public/Society Benefit
Other (Please Define):",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,479,,0.44,&&&,,,,,,,,,,,
15083,,,,What community challenge(s) does this program address,Requested grant funding,What the Organization Does,What the Organization Does,,480,,0.44,&&&,,,,,,,,,,,
15084,,,,NAME OF PROGRAM(S) FOR WHICH SUPPORT IS REQUESTED,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,481,,0.44,&&&,,,,,,,,,,,
15087,Evidence of Need,,,What evidence do you have that shows this approach will work to address the challenge or need your program has identified?,"Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,483,,0.44,&&&,,,,,,,,,,,
15090,,,,"If you have received funding from this program recently, what has your organization done to increase program efficiency or to enhance outcomes in recent years?",Requested Grant Funding Related,Requested Grant Funding Related,Requested Grant Funding Related Related,,485,,0.44,&&&,,,,,,,,,,,
15091,,,,"What is the history of this program? When was it started? If it is a
  new program, what compelled you to start it",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,486,,0.44,&&&,,,,,,,,,,,
15092,,,X,HOW MANY APPLICANTS HAVE YOU RECEIVED IN THE LAST TWO ROUNDS OF THIS PROGRAM,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,487,,0.44,&&&,,,,,,,,,,,
15098,Project Status Choices,,,"Existing Program

New, start-up program",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,490,,0.44,&&&,,,,,,,,,,,
15107,,,,The Team - Tell us about the team.,Biographical and Organizational info,Biographical and Organizational info,Organizational Biographical and General Information,,494,,0.44,&&&,,,,,,,,,,,
15108,,,,Please share with us the mission,What the Organization Does,What the Organization Does,What the Organization Does,,495,,0.44,&&&,,,,,,,,,,,
15109,,,,"Please
tell us about the mission of this proposal in a couple of sentences",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,496,,0.44,&&&,,,,,,,,,,,
15110,,,,Tell us more about your proposal,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,497,,0.44,&&&,,,,,,,,,,,
15111,,,,Please describe the nature of the engagement,Requested grant funding,Requested grant funding,Requested Grant Funding Related,,498,,0.44,&&&,,,,,,,,,,,
15112,,,,"PLEASE PROVIDE A ONE-SENTENCE DESCRIPTION OF YOUR
    PROPOSED INITIATIVE",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,499,,0.44,&&&,,,,,,,,,,,
15115,,,,Please briefly describe to us where this work takes place,Requested grant funding,What the Organization Does,What the Organization Does,,501,,0.44,&&&,,,,,,,,,,,
15118,,,,Name or Description of the organisation/network/alliance,Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,503,,0.44,&&&,,,,,,,,,,,
15119,,,,"Describe the need(s) or problem(s) that are addressed by your
    organization's key programs and initiatives in response to this RFP
    or as discussed with your program contact",Requested grant funding,What the Organization Does,What the Organization Does,,504,,0.44,&&&,,,,,,,,,,,
15120,PROGRAM FUNDING REQUEST,,,"For organizational development/capacity building/capital support, describe how the project will address organizational challenges and/or needs.",Requested Grant Funding Related,What the Organization Does,What the Organization Does,,505,,0.44,&&&,,,,,,,,,,,
15121,Health PROJECT/PROGRAM DESCRIPTION AND DESIGN,,,"Issue or Need: Describe the issue or need the grant will help to address and how it was identified.

Goals and Objectives: List the overall goal/goals of the program/project and specific objectives.",Requested grant funding,What the Organization Does,What the Organization Does,,506,,0.44,&&&,,,,,,,,,,,
15122,Strategies and Activities:,,,Provide the strategies you will employ to address the issue or need described in 2.1 and activities you will conduct to achieve the goals and objectives listed in 2.2.,Requested grant funding,What the Organization Does,What the Organization Does,,507,,0.44,&&&,,,,,,,,,,,
15128,,,,"If yes, identify infrastructure supports needed for the
    collaborative project to be successful. Describe how the partnership
    is structured to address those supports, including mechanisms and
    strategies for managing the collaborative work, monitoring
    activities, and evaluating progress toward outcomes. Discuss how we
    can partner with you to address the needed infrastructure supports
    beyond the grant funding",Partnership and Community,Partnership and Community,Collaborative Partnerships and Community Support,,510,,0.44,&&&,,,,,,,,,,,
15135,,,,What gap(s) would your project fill if it is successful,Requested grant funding,What the Organization Does,What the Organization Does,,514,,0.44,&&&,,,,,,,,,,,
15139,,,,"What issues or concerns (e.g. social, spiritual, political
    and economic) are you trying to address with the project",Requested grant funding,What the Organization Does,What the Organization Does,,516,,0.44,&&&,,,,,,,,,,,
15142,,,X,"Please list at least three measurable project outcomes that you expect align
with the needs described in your proposal. Please describe your program
outcomes to date","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,518,,0.44,&&&,,,,,,,,,,,
15143,,,,"Describe the need(s) or opportunity(ies) addressed by this project.
    Include discussion of the evidence-based or evidence-informed
    rationale for your project. Evidence can include community
    voice/experience, publically-available data (e.g. census), academic
    research, and/or grey literature (e.g., technical reports,
    evaluation reports, government reports, policy documents, and",Requested grant funding,"Data Handling, Overview, Measurement, Evaluation and Reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,519,,0.44,&&&,,,,,,,,,,,
15144,,,,List Any External Factors that Could Impact the Proposed Project,requested grant funding,What the Organization Does,What the Organization Does,,520,,0.44,&&&,,,,,,,,,,,
15145,,,,Factors Driving the Need for This Project? Why Change and Why Now,requested grant funding,requested grant funding,Requested Grant Funding Related,,521,,0.44,&&&,,,,,,,,,,,
15148,,,,Tell us why you see your project as important and/or urgent,requested grant funding,What the Organization Does,What the Organization Does,,523,,0.44,&&&,,,,,,,,,,,
15149,,,,"Explain how the project relates to the priorities and goals of the <REDACTED>
Foundation program to which you are applying",requested grant funding,requested grant funding,Requested Grant Funding Related,,524,,0.44,&&&,,,,,,,,,,,
15152,_Activities_,,,What are the main things the project will do or provide? (Please include a time frame showing when Trust-supported activities begin and end.),requested grant funding,What the Organization Does,What the Organization Does,,526,,0.44,&&&,,,,,,,,,,,
15153,,,,"Please provide a detailed description of the project, including its
goals and significance, methodology, and specific activities to be
undertaken","Data handling, overview, and reporting","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,527,,0.44,&&&,,,,,,,,,,,
15160,,,,"Describe anticipated barriers and/or challenges in implementing this
    project, including policy or systems barriers",requested grant funding,What the Organization Does,What the Organization Does,,531,,0.44,&&&,,,,,,,,,,,
15161,,,,Has the Project Already Begun or Been Attempted Before,requested grant funding,requested grant funding,Requested Grant Funding Related,,532,,0.44,&&&,,,,,,,,,,,
15162,,,,"Does this project have a fixed number of years,
or is it ongoing",requested grant funding,requested grant funding,Requested Grant Funding Related,,533,,0.44,&&&,,,,,,,,,,,
15163,,,,Does the Project Have CEO and/or Board Support,Requested Grant Funding Related,"Corporate Delegation and Oversight, Organizational structure","Corporate Delegation and Oversight, Organizational structure",,534,,0.44,&&&,,,,,,,,,,,
15174,,,,What exactly would the project or service do,requested grant funding,What the Organization Does,What the Organization Does,,539,,0.44,&&&,,,,,,,,,,,
15177,,,,How does this project fit within our funding priorities,requested grant funding,requested grant funding,Requested Grant Funding Related,,541,,0.44,&&&,,,,,,,,,,,
15185,,,,"Are there other earned income streams as part of the project and/or
    organization whereby funds would go toward this project? If so, what
    are they",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,545,,0.44,&&&,,,,,,,,,,,
15186,,,,"ARE THE COSTS TO IMPLEMENT THIS PROJECT GREATER THAN THE AMOUNT
REQUESTED FROM THE FUND",Requested grant funding,Requested grant funding,Requested Grant Funding Related,,546,,0.44,&&&,,,,,,,,,,,
15189,,,X,"Priorities Addressed by Project (Select Primary)

1.  General operating support for nonprofits for urgent needs of vulnerable populations impacted by COVID.

2.  Cost share for projects intended to create behavioral change associated with combating racism, and advancing diversity, equity and inclusion.

3.  Advancement of creative activities or strategies to address workforce shortages and/or re-training by those displaced by the pandemic.

4.  Support for strategic planning, fund development, board training or other capacity building initiatives for nonprofits that advance economic security for vulnerable households and financially disadvantaged people.

5.  Projects responding to the COVID pandemic in one of our region’s three communities which are home to large meat processing host facilities <REDACTED>.

6.  Support for local and regional community and economic development entities advancing early-stage feasibility or pilot projects.",Requested grant funding,What the Organization Does,What the Organization Does,,548,,0.44,&&&,,,,,,,,,,,
