,left_context,right_context,value,Area,Theme Converted Areas,IGNORE_THIS,group,new_group,the_cutoff,SUMMARIZING_QUESTION,OVERALL PROGRESS,SUMMARIZING_RATIO,NUMBER OF ROWS,NUMBER UN-SUMMARIZED,,
14533,,,"What is your overall organization's understanding of Diversity, Equity
  and Inclusion, and how are these values incorporated into your work",What You Do,What the Organization Does,,159,,0.44,,,,,,,
14535,,,"Describe the racial equity practices, programs or initiatives in
      which your organization is presently engaged

- internally and externally",What You Do,What the Organization Does,,161,,0.44,,,,,,,
14536,,,"Describe any internal and external efforts your organization is
    currently undertaking or plans to undertake to incorporate
    diversity, equity, and/or inclusion (DEI) into its policies,
    practices, and programs",What You Do,What the Organization Does,,161,,0.44,,,,,,,
14537,,,"THE <REDACTED> FUND HAS MADE AN EXPLICIT commitment to
    equity, diversity, and inclusion. PLEASE DISCUSS HOW YOUR
    ORGANIZATION ADVANCES EQUITY AND INCLUSION. FOR EXAMPLE, DOES YOUR
    ORGANIZATION HAVE ANY DIVERSITY, EQUITY, INCLUSION, AND/OR RACIAL
    JUSTICE GOALS, PRIORITIES, INITIATIVES, AND POLICIES?

PLEASE BRIEFLY DESCRIBE THEM HERE",What You Do,What the Organization Does,,162,,0.44,,,,,,,
14538,,,"PLEASE DISCUSS HOW YOUR
    ORGANIZATION ADVANCES EQUITY AND INCLUSION. FOR EXAMPLE, DOES YOUR
    ORGANIZATION HAVE ANY DIVERSITY, EQUITY, INCLUSION, AND/OR RACIAL
    JUSTICE GOALS, PRIORITIES, INITIATIVES, AND POLICIES",What You Do,What the Organization Does,,162,,0.44,,,,,,,
14539,"_Diversity, Equity, and Inclusion Questions_ ADVANCING DIVERSITY, EQUITY, AND INCLUSION",,"Please outline how your organization is advancing diversity, equity, and inclusion, both internally within your organization and across all programmatic areas.",What You Do,What the Organization Does,,163,,0.44,,,,,,,
14540,,,"Diversity, Equity & inclusion Within Your Organization",What You Do,What the Organization Does,,163,,0.44,,,,,,,
14541,"Diversity, Equity, and Inclusion Questions Advancing Diversity, Equity, and Inclusion",,"Please outline how your organization is advancing diversity, equity, and inclusion, both internally within your organization and across all programmatic areas.",What You Do,What the Organization Does,,163,,0.44,,,,,,,
14542,"ADDRESSING DIVERSITY, EQUITY AND INCLUSION PLEASE REFLECT ON AND SHARE YOUR ANSWERS TO THE FOLLOWING QUESTIONS. We want to hear what your current thinking/approach is around DEI. Your answers will also allow us to identify barriers that may be sector-wide, which may be addressed through capacity building support for individual organizations or a cohort.",,"WHAT IS YOUR ORGANIZATION DOING TO ADDRESS DIVERSITY, EQUITY AND INCLUSION IN ITS LEADERSHIP AT BOTH THE BOARD AND STAFF LEVELS?",What You Do,What the Organization Does,,164,,0.44,,,,,,,
14543,,,"WHAT IS YOUR ORGANIZATION DOING TO ADDRESS DIVERSITY, EQUITY AND INCLUSION IN ITS LEADERSHIP AT BOTH THE BOARD AND STAFF LEVELS",What You Do,What the Organization Does,,164,,0.44,,,,,,,
14544,,,"IF YOUR ORGANIZATION IS NOT CURRENTLY ADDRESSING DIVERSITY, EQUITY AND INCLUSION AT THE BOARD AND STAFF LEVELS, WHAT ARE THE BARRIERS, SUCH AS KNOWLEDGE, FINANCIAL INVESTMENT, CAPACITY, ETC., THAT ARE PREVENTING YOU FROM DOING SO",What You Do,What the Organization Does,,164,,0.44,,,,,,,
14545,,,How you will share your findings with the <REDACTED> and broader community,What You Do,What the Organization Does,,165,,0.44,,,,,,,
14546,,,"STAFF, AND PROGRAM
PARTICIPANTS—AND HOW THIS REFLECTS YOUR COMMUNITY AND CONNECTS WITH YOUR
MISSION",What You Do,What the Organization Does,,165,,0.44,,,,,,,
14549,,,"Describe how your organization involves the community and/or
    beneficiaries served in decision making around activities that
    affect their community and in defining the needs/opportunities to be
    addressed, designing the project activities, resource allocation,
    and evaluating progress toward outcomes",Partnership and Community,Collaborative Partnerships and Community Support,,167,,0.44,,,,,,,
14552,,,"Describe how your organization engages community members and
    incorporates the perspective and lived experience of the community
    and/or individuals that you serve. Include discussion on the
    strengths of the community/beneficiaries that your organization
    serves and explain how those strengths might contribute to the
    success of your organization and its programs",Partnership and Community,Collaborative Partnerships and Community Support,,169,,0.44,,,,,,,
14553,Narrative Need Addressed and Target Population,,"Describe the community needs that your organization addresses, the root cause of the need, and how you identified the need. Include a description of your target population.

What is the organization's definition of success? Who helped determine this definition of success?

What kind of information will inform this measure of success and how do you plan to collect it? Consider both qualitative and quantitative information.

How does this measure of success inform and/or influence the organization?",Partnership and Community,Collaborative Partnerships and Community Support,,169,,0.44,,,,,,,
14555,,,"CONSTITUENTS | WHO ARE THE PEOPLE AND COMMUNITIES YOUR ORGANIZATION OR
PROJECT BUILDS POWER WITH AND FOR? HOW IS YOUR ORGANIZATION/PROJECT
BEING LED BY COMMUNITY MEMBERS WITH LIVED EXPERIENCE IN THE ISSUES YOU
ADDRESS",Partnership and Community,Collaborative Partnerships and Community Support,,170,,0.44,,,,,,,
14563,,,"Please tell us how the community has a voice in your organization's work. For example, how does the
community give input, shape programs, influence decisions, etc.",Partnership and Community,Collaborative Partnerships and Community Support,,173,,0.44,,,,,,,
14560,,,"What has been the impact of COVID-19 on your organization and its
    work so far, and what do you expect the impact to be moving forward",How has COVID-19 impacted your work,How has COVID-19 impacted your work,,172,,0.44,"Provide information on the following:
*COVID-19 impacts
*Current obstacles to success
*Anticipated obstacles/risks
*Types of risks faced; e.g., financial, reputational, implementation, external, etc.
*Methods of assessing organizational risk
*Methods of resolving or minimizing identified/anticipated obstacles and risks
",,,,,,
14561,EFFECT OF COVID-19,,"What has been the impact of COVID-19 on your organization and its work so far, and what do you expect the impact to be moving forward?",How has COVID-19 impacted your work,How has COVID-19 impacted your work,,172,,0.44,,,,,,,
14564,Optional - COVID-19 update,,Please provide us with an update on how COVID-19 has affected your organization and its programs and operations.,How has COVID-19 impacted your work,How has COVID-19 impacted your work,,173,,0.44,,,,,,,
16608,,,COVID-19 IMPACT,How has COVID-19 impacted your work,How has COVID-19 impacted your work,,1352,,0.44,,,,,,,
14567,Risk and Agility.,,"How do you assess your organizational risk? How are external factors (e.g., COVID-19, the economy, political environments, etc.) impacting your organization, planning and risk analysis?*",What You Do,What the Organization Does,,175,,0.44,,,,,,,
14778,,"A serious incident is an adverse event, whether actual or alleged, which results in or risks significant: • harm to your organisation’s beneficiaries, staff, volunteers or others who come into contact with your charity through its work • loss of your organisation’s money or assets or damage to your organisation’s property • harm to your organisation’s work or reputation",Has your organisation had any serious incidents in the last three years?,What You Do,What the Organization Does,,285,,0.44,,,,,,,
14804,RISKS AND CHALLENGES,,What factors stand in the way of success?,What You Do,What the Organization Does,,297,,0.44,,,,,,,
14936,CHALLENGES,,What challenges do you think you might face as you implement your grant? Tell us about challenges or risks you expect to encounter.,What You Do,What the Organization Does,,392,,0.44,,,,,,,
15025,,,"Beyond funding, what do you anticipate being the biggest hurdle your
    initiative will face in the next couple of years? What strategies
    have you considered to help mitigate these risks",What You Do,What the Organization Does,,444,,0.44,,,,,,,
15158,,,"Provide analysis of the project's risks and limitations. Please identify what type
of risk you are discussing, e.g., financial risks, reputational risk, or
implementation risks",What You Do,What the Organization Does,,530,,0.44,,,,,,,
15159,RISKS AND CHALLENGES,,"o Provide analysis of the project's risks and limitations. Please identify what type of risk you are discussing, e.g., financial risks, reputational risk, or implementation risks.
o What factors stand in the way of success?
o How will these risks/challenges be addressed or minimized?",What You Do,What the Organization Does,,530,,0.44,,,,,,,
16249,,,Risks,What You Do,What the Organization Does,,1154,,0.44,,,,,,,
16250,,,Risks to Success,What You Do,What the Organization Does,,1154,,0.44,,,,,,,
14566,,,"Please describe your decision-making body (role of Board, members, staff, advisors, how they are selected, length of term, etc.). If your organisation does not have a decision-making body, please describe how your organisation makes decisions",What You Do,What the Organization Does,,175,,0.44,&&&,,,,,,
14568,,,"Describe your Board and the role it plays in planning, fundraising,
    and financial oversight. How are decisions made",What You Do,What the Organization Does,,175,,0.44,&&&,,,,,,
14570,ORGANISATIONAL STRUCTURE,,"How does your organisation reflect a commitment to sex workers’ involvement in decision making processes and shared leadership? This may include describing how individuals are selected for the decision-making body, length of terms, who supervises the staff members, the role of members, etc.",What You Do,What the Organization Does,,177,,0.44,&&&,,,,,,
14571,,,How does your organisation reflect a commitment to sex workers’ involvement in decision making processes and shared leadership? This may include describing how individuals are selected for the decision-making body,What You Do,What the Organization Does,,177,,0.44,&&&,,,,,,
14577,,,Please tell us about the main successes your organisation has achieved (no more than two),What You Do,What the Organization Does,,182,,0.44,&&&,,,,,,
14578,,,Please tell us about the main successes your organisation has achieved,What You Do,What the Organization Does,,182,,0.44,&&&,,,,,,
14579,,,Describe Your Organization,Biographical and Organizational info,Organizational Biographical and General Information,,183,,0.44,&&&,,,,,,
14580,,,"Please briefly describe your organization; or, if a department within a
much larger organization, describe your particular unit",Biographical and Organizational info,Organizational Biographical and General Information,,183,,0.44,&&&,,,,,,
14581,,,Describe Your Organization’s Culture,Biographical and Organizational info,Organizational Biographical and General Information,,183,,0.44,&&&,,,,,,
14582,,,Briefly describe how your organization works,What You Do,What the Organization Does,,183,,0.44,&&&,,,,,,
14585,ABOUT YOUR ORGANIZATION,,Please provide a brief description of your organization and its ability to carry out the program,What You Do,What the Organization Does,,184,,0.44,&&&,,,,,,
14586,,,PLEASE PROVIDE A SHORT DESCRIPTION ABOUT YOUR ORGANIZATION,Biographical and Organizational info,Organizational Biographical and General Information,,184,,0.44,&&&,,,,,,
14587,Mission Achievement,,"Please give us an overview of your organization. Where does your
  organization fit into the landscape of services?",What You Do,What the Organization Does,,184,,0.44,&&&,,,,,,
14584,,,TELL US ABOUT YOUR ORGANIZATION. WHAT IS YOUR MISSION AND TRACK RECORD? HIGHLIGHT TWO OR THREE KEY FACTS AND ACCOMPLISHMENTS THAT BEST DEFINE YOUR ORGANIZATION,What You Do,What the Organization Does,,183,,0.44,&&&,,,,,,
14588,,,HOW DOES THE PROGRAM SUPPORT YOUR ORGANIZATIONAL MISSION,What You Do,What the Organization Does,,185,,0.44,&&&,,,,,,
14589,,,How does this project align with or support the mission of your organization,What You Do,What the Organization Does,,185,,0.44,&&&,,,,,,
14590,,,How does your organization strive to be inclusive?,What You Do,What the Organization Does,,186,,0.44,&&&,,,,,,
14591,,,How is your organization community-centered and community led,What You Do,What the Organization Does,,186,,0.44,&&&,,,,,,
14592,,,How does your organization currently measure impact,What You Do,What the Organization Does,,186,,0.44,&&&,,,,,,
14593,,,WHAT IS YOUR ORGANIZATION TYPE,What You Do,What the Organization Does,,187,,0.44,&&&,,,,,,
14594,,,ARE YOU THE ORGANIZATIONAL LEADER OF YOUR ORGANIZATION,Catch all/Anything else,Miscellaneous,,187,,0.44,&&&,,,,,,
14595,,,What is your Organization Type,Biographical and Organizational info,Organizational Biographical and General Information,,187,,0.44,&&&,,,,,,
14596,,,What sector(s) does your organization work in,What You Do,What the Organization Does,,188,,0.44,&&&,,,,,,
14597,,,What Policies Govern Data in Your Organization,What You Do,What the Organization Does,,188,,0.44,&&&,,,,,,
14598,,,In what issue areas does your organization work,What You Do,What the Organization Does,,188,,0.44,&&&,,,,,,
14599,,,What age groups does your organization serve,Partnership and Community,Collaborative Partnerships and Community Support,,189,,0.44,&&&,,,,,,
14600,,,What categories of demographic data does your organization collect,"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,189,,0.44,&&&,,,,,,
14605,DETAILED PROJECT SUMMARY,,"-   * Brief project summary:

-   * What is the geographic service area being served, such as
    neighborhood, county-wide, etc.?

-   * Describe your project in detail, including proposed timeline and
    specifically how you would use the funds:

-   * What makes your organization unique and effective, as compared
    with other organizations working in your geographic area with
    similar populations? What is your organization doing to limit
    duplication or overlapping services?

-   * Do you need licensing, zoning, or other regulatory approval to
    conduct the project?

-   * Is your organization working in partnership with one or more
    organizations?",What You Do,What the Organization Does,,194,,0.44,&&&,,,,,,
14606,,,"What makes your organization unique and effective, as compared
    with other organizations working in your geographic area with
    similar populations? What is your organization doing to limit
    duplication or overlapping services",What You Do,What the Organization Does,,194,,0.44,&&&,,,,,,
14607,,,Describe your work and how it connects to the goals of <REDACTED> Nonprofit Technology Initiative,What You Do,What the Organization Does,,195,,0.44,&&&,,,,,,
14608,,,"Describe your organization and its work, especially as it relates to advancing opportunities for lowincome people",What You Do,What the Organization Does,,195,,0.44,&&&,,,,,,
14610,,,"Please tell us how your organization leverages assets to create positive change (e.g. partnerships, your organization's experience and strengths, other resources, etc.). How does this approach improve your service or offering?",What You Do,What the Organization Does,,197,,0.44,&&&,,,,,,
14611,,,"Please tell us how your organization leverages assets to create positive change (e.g. partnerships, your
organization's experience and strengths, other resources, etc.). How does this approach improve your service
or offering? If you are a returning grant applicant, you are welcome to share any new insights, practices, or
partners since your last grant submission",What You Do,What the Organization Does,,197,,0.44,&&&,,,,,,
14612,,,"In what ways has your organization shown improvement at creating positive change for the individuals and/or
communities you engage with",What You Do,What the Organization Does,,198,,0.44,&&&,,,,,,
14613,,,"How have others (people or organizations) positively described the
    work of your organization? What aspects of your organization would
    they say could be improved",Biographical and Organizational info,Organizational Biographical and General Information,,198,,0.44,&&&,,,,,,
14617,,,"Describe your organization's ability to effectively implement this project. What makes
you well-positioned to undertake it",What You Do,What the Organization Does,,202,,0.44,&&&,,,,,,
14619,,,"Describe intended
outcomes that best demonstrate your organization's effectiveness",What You Do,What the Organization Does,,203,,0.44,&&&,,,,,,
14620,,,Describe your organization's capacity and relevant expertise,What You Do,What the Organization Does,,203,,0.44,&&&,,,,,,
14622,,,"Who are 2-3 organizations that could validate the effectiveness of
    the work you are doing",Biographical and Organizational info,Organizational Biographical and General Information,,205,,0.44,&&&,,,,,,
14623,Success,,How will your organization know that it has been successful? Provide 2-3 success/outcome statements.,What You Do,What the Organization Does,,205,,0.44,&&&,,,,,,
14624,,,How do you mitigate the risks or the lead worker leaving?,What You Do,What the Organization Does,,206,,0.44,&&&,,,,,,
14625,,,"How can you assure us that if the lead worker associated with this
  project was to leave your organisation, that the project would not be
  negatively impacted",What You Do,What the Organization Does,,206,,0.44,&&&,,,,,,
14626,,,How do you ensure your organization is continuously improving?,What You Do,What the Organization Does,,207,,0.44,&&&,,,,,,
14627,,,How do you ensure your organization is continuously improving,What You Do,What the Organization Does,,207,,0.44,&&&,,,,,,
14628,,,What advice would you give to another organization doing the same work,What You Do,What the Organization Does,,207,,0.44,&&&,,,,,,
14629,,,"How do you measure the effectiveness of your organization, including impact/outcomes in our community and use of resources?","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,208,,0.44,&&&,,,,,,
14630,,,How do you measure the effectiveness of your organization,"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,208,,0.44,&&&,,,,,,
14631,Tracking the Number of People Served,,How do you track the people your organization serves?,"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,208,,0.44,&&&,,,,,,
14652,,,"What are the aims and objectives of the
charity",What You Do,What the Organization Does,,216,,0.44,&&&,,,,,,
14667,,,"Describe your organization's track record in implementing similar
    projects and include detail on previous outcomes achieved (within
    the last five years), as well as lessons learned",Biographical and Organizational info,Organizational Biographical and General Information,,225,,0.44,&&&,,,,,,
14669,,,"List up to five of the project's or your organization's largest, most
recent funders, by name only",Partnership and Community,Collaborative Partnerships and Community Support,,227,,0.44,&&&,,,,,,
14670,Donor List,,"Provide a listing of current donors, arranged by ranges of amounts. If your organization has more than 500 donors, limit the list to institutional donors (i.e., foundation, corporate and government grants).",Partnership and Community,Collaborative Partnerships and Community Support,,227,,0.44,&&&,,,,,,
14672,,,Select your organization’s Director/CEO,Biographical and Organizational info,Organizational Biographical and General Information,,229,,0.44,&&&,,,,,,
14673,,,Add your organization’s name,Biographical and Organizational info,Organizational Biographical and General Information,,229,,0.44,&&&,,,,,,
14676,,,Attach your organization’s most recent budget.,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,232,,0.44,&&&,,,,,,
14677,,,Attach your organization’s most recent budget,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,232,,0.44,&&&,,,,,,
14678,,,Attach your organization's Year-to-Date Budget,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,232,,0.44,&&&,,,,,,
14679,,,Include your organization's long-term fundraising plan,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,232,,0.44,&&&,,,,,,
14680,,,Enter your business title,Biographical and Organizational info,Organizational Biographical and General Information,,233,,0.44,&&&,,,,,,
14681,,,"Enter your business title
i.e., Executive Director",Biographical and Organizational info,Organizational Biographical and General Information,,233,,0.44,&&&,,,,,,
14682,,,Please upload your current organizational board,Biographical and Organizational info,Organizational Biographical and General Information,,234,,0.44,&&&,,,,,,
14683,,,Please upload your current organizational board roster,Biographical and Organizational info,Organizational Biographical and General Information,,234,,0.44,&&&,,,,,,
14684,,,Please upload your organizational budget for the current fiscal year,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,235,,0.44,&&&,,,,,,
14685,,,Please upload a draft organizational budget for the upcoming fiscal year,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,235,,0.44,&&&,,,,,,
14686,,,Please upload your project budget,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,235,,0.44,&&&,,,,,,
14687,,,Please upload your organization budget,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,235,,0.44,&&&,,,,,,
14688,,,Please upload your organization budget _(upload in grant portal)_,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,236,,0.44,&&&,,,,,,
14689,,,Please upload your project budget _(upload in grant portal),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,236,,0.44,&&&,,,,,,
14690,,,Please upload your budget narrative _(upload in grant portal),"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,236,,0.44,&&&,,,,,,
14693,,,WHAT DATE DOES YOUR ORGANIZATION'S FISCAL YEAR END?,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,239,,0.44,&&&,,,,,,
14694,,,When was your organisation created,Biographical and Organizational info,Organizational Biographical and General Information,,239,,0.44,&&&,,,,,,
14695,,,"IN WHAT YEAR WAS YOUR ORGANIZATION RECOGNIZED UNDER SECTION
  501(C)(3)",Biographical and Organizational info,Organizational Biographical and General Information,,239,,0.44,&&&,,,,,,
14696,,,What % of your total organization's budget would this grant comprise,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,240,,0.44,&&&,,,,,,
14697,,,HOW MUCH GOVERNMENT FUNDING DOES YOUR ORGANIZATION RECEIVE,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,240,,0.44,&&&,,,,,,
14698,,,HOW MUCH DOES YOUR ORGANIZATION RECEIVE IN <REDACTED> FUNDING,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,240,,0.44,&&&,,,,,,
14699,,,"WHAT PERCENT OF YOUR ORGANIZATION'S TOTAL OPERATING BUDGET COMES FROM
  GOVERNMENT FUNDING","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,240,,0.44,&&&,,,,,,
14700,,,"Describe your organization. Indicate what percentage of your services benefit the <REDACTED>, <REDACTED> and other
locations",What You Do,What the Organization Does,,241,,0.44,&&&,,,,,,
14701,,,"HOW BIG IS YOUR ORGANIZATION? ONE OF THE WAYS WE UNDERSTAND THE SIZE OF AN ORGANIZATION IS BY LOOKING AT THEIR EXPENSES. 

WHAT WERE YOUR TOTAL EXPENSES IN YOUR LAST FISCAL YEAR?

Up to $49,999
$50,000 - $99,999
$100,000 - $249,999
$250,000 - $499,999
$500,000 - $999,999
$1M - $4,999,999
$5M +","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,241,,0.44,&&&,,,,,,
14703,,,WHAT IS YOUR ORGANIZATION’S CURRENT OPERATING BUDGET,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14704,,,What is your organizational budget for the current fiscal year,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14705,,,What is your organization's total budget for the current fiscal year,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14706,,,"What is your organization's annual operating budget for the next fiscal year? *
Provide an estimate if necessary","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14707,,,Current annual budget for your organization,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14708,,,"Is your organization's current year's operating budget one million dollars or
more","Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14709,,,WHAT WAS YOUR ORGANIZATION'S OPERATING BUDGET FOR THE PREVIOUS YEAR,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14710,,,WHAT IS YOUR ORGANIZATION'S OPERATING BUDGET FOR THE CURRENT YEAR,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,243,,0.44,&&&,,,,,,
14711,,,"What other organisations or statutory bodies does your organisation
  refer _ON TO_ once <REDACTED> individuals have benefitted from your
  organisation's projects/services",Partnership and Community,Collaborative Partnerships and Community Support,,244,,0.44,&&&,,,,,,
14712,,,"What other organisations/statutory bodies operating in or around
  <REDACTED> has your organisation worked with",Partnership and Community,Collaborative Partnerships and Community Support,,244,,0.44,&&&,,,,,,
14713,,,Which of the <REDACTED> Foundation counties does your organization serve,Requested grant funding,Requested Grant Funding Related,,244,,0.44,&&&,,,,,,
14715,,,In which county will your organization provide the bulk of its services related to this request?,Requested grant funding,Requested Grant Funding Related,,246,,0.44,&&&,,,,,,
14716,,,In which county will your organization provide the bulk of its services,Requested grant funding,Requested Grant Funding Related,,246,,0.44,&&&,,,,,,
14718,,,PLEASE FURTHER DESCRIBE THE SPECIFIC POPULATION YOUR ORGANIZATION INTENDS TO REACH,Requested grant funding,Requested Grant Funding Related,,248,,0.44,&&&,,,,,,
14719,,,"Please tell us the number of unique individuals engaged
annually by your organization",,,,248,,0.44,&&&,,,,,,
14720,,,"If you were referred by another organization or individual, please list the name of the organization or individual below.",How did you hear of us,How did you hear of us,,249,,0.44,&&&,,,,,,
14721,,,"If you were referred by another organization or individual, please list
the name of the organization or individual below.

If you selected Other, please explain",How did you hear of us,How did you hear of us,,249,,0.44,&&&,,,,,,
14724,,,"In
    your most recent fiscal year, how many individuals did your
    organization serve",Demographic/Orientation/Status,Project Demographics/Orientation/Status,,252,,0.44,&&&,,,,,,
14725,,,Number of People Served by Your Organization,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,252,,0.44,&&&,,,,,,
14726,,,How many people does your organization serve annually,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,252,,0.44,&&&,,,,,,
14727,,,How many people are on your management committee,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,253,,0.44,&&&,,,,,,
14728,,,How many trustees do you have,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,253,,0.44,&&&,,,,,,
14729,,,How many interns do you currently have within your organization,Demographic/Orientation/Status,Project Demographics/Orientation/Status,,254,,0.44,&&&,,,,,,
14730,,,Does your organization utilize interns,Biographical and Organizational info,Organizational Biographical and General Information,,254,,0.44,&&&,,,,,,
14733,,,"Please share the names of any sex worker-led or allied organisations, networks and/or alliances your organisation currently works with and how you collaborate with them",Partnership and Community,Collaborative Partnerships and Community Support,,257,,0.44,&&&,,,,,,
14734,,,"Is there anything else you would like to share about how your organisation collaborates with any other sex worker-led or allied organisations, networks, and/or alliances",Partnership and Community,Collaborative Partnerships and Community Support,,257,,0.44,&&&,,,,,,
14742,,,"Please describe your organisation’s membership including whether they are individuals and/or organisations, how they become a member, and the current number of members",Biographical and Organizational info,Organizational Biographical and General Information,,265,,0.44,&&&,,,,,,
14743,,,Are your members mainly individuals or organisations,Biographical and Organizational info,Organizational Biographical and General Information,,265,,0.44,&&&,,,,,,
14748,,,What is the CURRENT GuideStar Exchange participant level for your organization?,Requested grant funding,Requested Grant Funding Related,,270,,0.44,&&&,,,,,,
14749,,,What is your organization's GuideStar Exchange Participant Level,Requested grant funding,Requested Grant Funding Related,,270,,0.44,&&&,,,,,,
14751,,,"Is your organization led by Black, Indigenous, or People of Color (BIPOC)",Biographical and Organizational info,Organizational Biographical and General Information,,272,,0.44,&&&,,,,,,
14752,,,"Does your organization PRIMARILY serve ""People who identify with a particular race(s)""?",,,,272,,0.44,&&&,,,,,,
14753,,,"Is your organization Black-, indigenous-, or people of color-led",Biographical and Organizational info,Organizational Biographical and General Information,,272,,0.44,&&&,,,,,,
14755,,,Does your board include people from underrepresented groups,Biographical and Organizational info,Organizational Biographical and General Information,,274,,0.44,&&&,,,,,,
14756,,,Is your CEO or Executive Director from an underrepresented group,Biographical and Organizational info,Organizational Biographical and General Information,,274,,0.44,&&&,,,,,,
14757,,,Does your senior leadership team include people from underrepresented groups,Biographical and Organizational info,Organizational Biographical and General Information,,274,,0.44,&&&,,,,,,
14758,,,Does your organization currently collect demographic data for board and/or staff,"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,275,,0.44,&&&,,,,,,
14759,ORGANIZATION INFORMATION,,Does your organization currently collect demographic data for board and/or staff? Please select yes or no for both Board and Staff.,"Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,275,,0.44,&&&,,,,,,
14760,,,"Does your organization currently collect demographic data about:

Staff
Board of Directors
People Served","Data handling, overview, and reporting","Data Handling, Overview, Measurement, Evaluation and Reporting",,275,,0.44,&&&,,,,,,
14761,,,HAS YOUR ORGANIZATION SUBMITTED DEMOGRAPHIC INFORMATION TO _GUIDESTAR_,,,,275,,0.44,&&&,,,,,,
14762,,,"Does your organization currently collect demographic data for board and/or
staff",Requested grant funding,Requested Grant Funding Related,,275,,0.44,&&&,,,,,,
14765,,,"IS YOUR ORGANIZATION EITHER INCORPORATED AND DOING WORK IN THE US, OR
  BASED OUTSIDE OF US AND LEADING WORK IN THE US",Biographical and Organizational info,Organizational Biographical and General Information,,278,,0.44,&&&,,,,,,
14766,,,"Is your organization working in partnership with one or more
    organizations",Partnership and Community,Collaborative Partnerships and Community Support,,278,,0.44,&&&,,,,,,
14767,,,Is your organisation a registered Living Wage Employer,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,279,,0.44,&&&,,,,,,
14768,,,Is your organization led by a person with a disclosed disability,Biographical and Organizational info,Organizational Biographical and General Information,,279,,0.44,&&&,,,,,,
14769,,,Did your organization receive an unqualified opinion,Biographical and Organizational info,Organizational Biographical and General Information,,280,,0.44,&&&,,,,,,
14770,,,Did your organization have an audit,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,280,,0.44,&&&,,,,,,
14772,Outstanding Obligations and/or Contingencies,,Does your organization have any outstanding obligations and/or contingencies?,"Organizational budgeting, revenue practices, and forecasts","Organizational budgeting, revenue practices, and forecasts",,282,,0.44,&&&,,,,,,
