left_context,question,right_context,identifier
,Line Item Project Budget,,8802
Your Organization profile was last updated on (review the date indicated),Is this current (Yes or No).,"If no, please update your Organization Profile before continuing",2298
,Have you previously spoken with a specific Foundation staff member regarding this submission,,2310
,"What are the current needs, challenges, or recent events that led your organization to submit
this proposal",,2341
,Indirect expenses,,2369
Please provide details for each line item in your project budget.,Line Item Description,,8834
,Update the Applicant Contact/Project person information,,8810
,Key staff members and qualifications or an organization chart,,2324
,Construction Expenses,,2376
,"Your Organization profile was last updated on (review the date indicated)
Is this current",,8773
,"Is there any other information we might need to better understand your request and/or the unique
needs of the community that this request will serve",,2320
"If your request is for capital expenses, please edit the expense line items to reflect those capital expenditures listed below:",Fees,,2378
"If your request is for capital expenses, please edit the expense line items to reflect those capital expenditures listed below:",Building Costs,,2375
Please provide details for each line item in your project budget.,Government Grants or Contracts,,2352
,SECOND YEAR REQUEST AMOUNT,,4103
,CURRENT PROGRAMS,"You may either upload a description of your current programs, such as a brochure (PDF format required), or type in a description.",4315
ADDITIONAL ORGANIZATIONAL INFO,"ORGANIZATIONAL CAPACITY OVER $30,000",,4323
ADDITIONAL ORGANIZATIONAL INFO,"ORGANIZATIONAL BACKGROUND OVER $30,000",,4324
SCHOOL PRE-AUTHORIZATION FORMS,"Since you are part of or partnering with a school district, you are
required to upload a School Pre-Authorization form. You can download the form here. BE SURE TO SUBMIT YOUR FORM TO YOUR PARTNER SCHOOL DISTRICT WELL IN ADVANCE OF THE GRANT DEADLINE. If you are partnering with multiple school districts, combined all forms into one PDF. If you are partnering with more than four school districts, include forms from the
top four.",,4171
,BUDGET NARRATIVE,,4220
,VOLUNTEER HOURS CALCULATION,,4197
,CALCULATION,,4193
,ADDITIONAL PROPOSAL INFO,,4158
In which county is your organization located?,Other,,4133
ADDITIONAL ORGANIZATIONAL INFO,"ORGANIZATION FINANCIAL INFORMATION OVER $30,000",,4337
,LONG TERM RESULTS,,4272
Summary,Multi-Year?,,4049
,"ORGANIZATION FINANCIAL INFORMATION $30,000 & LESS","Please include your organization's completed 990 forms for your two most recently completed fiscal years in the upload fields below. (If your organization does not complete a 990 or 990-EZ, or has not yet filed their 990 for the most recently completed fiscal year, upload unaudited year end financial statements.)",4331
,Number of Years Requested,,4052
,NUMBER OF STAFF,,4329
,NUMBER OF YEARS REQUESTED,,4099
,THIRD YEAR REQUEST AMOUNT,,4107
,YEAR-TO-DATE INCOME STATEMENT,,4321
,TARGETS 2,,4252
,COUNTIES SERVED,,4122
,TOTAL STAFF HOURS,,4190
,AUDIT MOST RECENT,,4339
,ORGANIZATIONAL BACKGROUND,,4288
,SUSTAINABILITY PLAN,,4182
,NEW OR EXISTING CHARITABLE ACTIVITY,,4229
,ORGANIZATION TWITTER,,4305
,ORGANIZATION FACEBOOK,,4303
,990 MOST RECENT,,4333
,ADDITIONAL ORGANIZATIONAL INFO,,4319
,TOTAL HOURS PROVIDED,What is the projected total number of direct service hours provided to clients? (Average number multiplied by number of clients.),4186
,STAFF HOURS,Total number of staff hours that your organization will invest in this charitable activity.,4192
,ORGANIZATIONAL CAPACITY,,4287
,HOURS PER CLIENT,,4184
,ORGANIZATION'S BOARD OF DIRECTORS,,4307
,ORGANIZATION HISTORY,,4325
,TARGETS 1,,4237
,TARGETS 3,,4266
ORGANIZATION'S BOARD OF DIRECTORS,AKA,"AKA = Also Known As. This information can be automatically populated from your Nonprofit Profile on Guidestar.org. Applicants are encouraged to keep their profile up to date. If this information is not on your Profile, you may enter it.",4309
,"ARE YOU CURRENTLY BEING FUNDED BY THE COMMUNITY FOUNDATION FOR A GRANT
AND HAVE NOT YET SUBMITTED THE CORRESPONDING FINAL REPORT",,4059
,PROGRAM RATIONALE,,4226
,LEVERAGE ADDITIONAL FUNDING,"Will this grant assist your organization in seeking or securing other funding sources? If yes, how much and from whom? If no, leave blank.",4145
,"Provide any external reports that support your proposal in the upload
fields below",,4147
Summary – Second Year (if Multi-Year) Number of Years Requested,You answered Yes to Multi-Year?,,4053
,"Provide any external reports that support your proposal in the upload
fields below. (If you have more than two documents, consolidate them
into two documents",,12788
,ANTICIPATED AUDIENCE NUMBER,,4199
,QUOTES,Upload any required quotes here. Consolidate all quotes into one document to upload. PDF format required.,4218
,TESTIMONIALS,"If you have any testimonials from past participants of this charitable activity that support this request, upload here.",4280
,ORGANIZATION COUNTY,,4294
,Charitable Activity,,12677
,WEB ADDRESS 1,,4154
,SECOND RESULT,,4243
,BRIEF PROPOSAL DESCRIPTION,,4085
,TOTAL COST,,4093
,THIRD YEAR COST,,4109
,INTERIM REPORT,,4062
,POPULATION DESCRIPTION,,4135
,REPORT 1,,4150
,REPORT 2,,4152
,NUMBER SERVED,,4113
,SECOND YEAR COST,,4105
,Direct Service,,4043
,FUNDS EXPENDED,,4139
,BENCHMARKS 3,,4270
,FIRST YEAR COST,,4091
,NUMBER SERVED OVER LIFETIME,,4276
,COLLABORATIVE REPORTING,How and when will the collaboration report to the public?,4209
,TOTAL REQUESTED,"What is the total amount requested from <REDACTED> in this proposal? This will be the same as the Request Amount unless this is a multi-year request. For multi-year requests, add the amount of all years requested.",4089
,SUPPORT LETTERS,,4211
,COMMUNITY NEED,What community need or opportunity is your proposed activity addressing?,4111
,CRITERIA FOR SUCCESS,What are your criteria for success? How will you demonstrate successful completion of this project?,4285
,INDICATORS OF SUCCESS 1,,4235
,INDICATORS OF SUCCESS 2,,4250
,Second Year (if Multi-Year),,12651
,INDICATORS OF SUCCESS 3,,4264
,SUPPORT TYPE,Select the Support Type. Refer to the <REDACTED> Guidelines for definitions of each Support Type. Your choice of Support Type will determine which questions appear in your application.,4067
,NUMBER SERVED BY COMPONENT,,4116
,SCHOOL DISTRICT PARTNERSHIP,,4160
,COLLABORATIVE PARTNERS,,4203
,YEAR FOUNDED,,4313
,DIRECT SERVICE?,"Does this proposal provide direct services to clients? (E.g., tutoring, counseling, case management, etc.)",4174
,WEB ADDRESS 2,,4156
,COVID-19 IMPACT,,4317
AGREEMENT,-   I agree to the above terms.,,4343
,THIRD RESULT,,4258
,NUMBER SERVED YEAR THREE,,4120
,RESULT 2,,4248
,PROPOSAL PLAN - PHOTOS,,4168
,Proposal Plan,,12656
,Photos,,4055
,Outreach Efforts,,4201
,FOCUS AREA,,4074
,BENCHMARKS 1,,4241
,DETAILED PROJECT DESCRIPTION,,4141
,RESULTS TO DATE,,4278
,FUNDS NEEDED,,4137
,RESPONSIBLE PARTIES,"List names, job titles, and roles of staff/volunteers responsible for achieving proposal’s goals.",4143
"APPLICANT AGREEMENT By clicking below, I agree to the following terms and conditions of the <REDACTED> (hereafter “FOUNDATION”) on behalf of my organization (hereafter “APPLICANT”). Additionally, I certify that I am authorized to agree to these terms and conditions. 1. To use the funds only for the tax-exempt purpose (1) as described in the grant application and subsequent grant notification letter and not for any other purpose without the FOUNDATION’s prior written approval. (1) As defined by the Internal Revenue Service 2. To not expend any grant funds for any political or lobbying activity or for any purpose other than one specified in section 170(c)(2)(b) of the Code. 3. To notify the FOUNDATION immediately of any change in (a) APPLICANT’S legal or tax status, (b) APPLICANT’S executive or key staff responsible for achieving the grant purposes, (c) APPLICANT’S ability to expend the grant for the intended purpose, and (d) any expenditure from this grant for any purpose other than those for which the grant was intended. 4. To maintain books and records adequate to demonstrate that it maintained the grant funds in a separate fund dedicated to the purpose for which the grant is made, and to maintain records of expenditures adequate to identify the purposes for which, and manner in which, grant funds have been expended. 5. To give the FOUNDATION reasonable access to the APPLICANT’s files and records for the purpose of making such financial audits, verifications, and investigations as it deems necessary concerning the grant, and to maintain such files and records for a period of at least four years after completion or termination of the project. 6. To return to the FOUNDATION any unexpended funds or any portion of the grant that is not used for the purposes specified herein. 7. To allow the FOUNDATION to review and approve the content of any proposed publicity concerning this grant prior to its release and to recognize the FOUNDATION in all publicity materials related to the funded project or program, as specified in the Grant Communication Guidelines, which will be included in the grant notification letter. 8. To allow the FOUNDATION to include information about this grant in the FOUNDATION’s periodic public reports, newsletter, news releases, social media postings, and on the FOUNDATION’s website. This includes the amount and purpose of the grant, any photographs you have provided that do not include ""DO NOT USE"" in their file name, your logo or trademark, and other information and materials about your organization and its activities. 9. To submit a written report summarizing the project promptly following the end of the period during which you are to use all grant funds and to submit any interim reports the FOUNDATION may require. Your reports should describe your progress in achieving the purposes of the grant and include a detailed accounting of the use and expenditure of grant funds. 10. To not discriminate on the basis of race, color, sex, sexual orientation, religion, age, national/ethnic origin, political beliefs, veteran’s status, disability, or any other factor prohibited by applicable law. The FOUNDATION reserves the right to discontinue, modify or withhold any payments under this grant award or to require a total or partial refund of any grant funds if, in the FOUNDATION’s sole discretion, such action is necessary: (a) because you have not fully complied with the terms and conditions of this grant; (b) to protect the purpose and objectives of the grant or any other charitable activities of the FOUNDATION; or (c) to comply with the requirements of any law or regulation applicable to you, the FOUNDATION, or this grant.",-   I agree to the above terms.,,12986
,POSITIVE IMPACT,,4283
,BENCHMARKS 2,,4256
,RECENT ACCOMPLISHMENTS,,4327
,SUMMARY,,4064
,PROPOSAL TITLE,,4065
,Total Requested,,4048
Measuring Results,Program/Project/Event,,4222
,ORGANIZATION LOGO,,4301
,YEARS IN OPERATION,,4274
,NUMBER SERVED YEAR TWO,,4118
"MEASURING RESULTS To learn more about Measuring Results, including completed examples of the Measuring Results section, visit <REDACTED> Grant Resources webpage. For a single request, all results should reflect expectations within the funding period, typically one year. For multi-year requests, each result statement component should include each proposed year of the charitable activity. Some charitable activities may repeat the same statements each year. Others will change each year. Examples of multi-year result statements can be found on <REDACTED> Grant Resources webpage. MEASURING RESULTS AFFIRMATION",-   I have reviewed the Measuring Results section of <REDACTED> website referred to above.,,4224
,"What is the proposed solution to the priority area you selected
    above",,3378
,Purpose of Grant,,3364
,WHICH OF THE PRIORITY AREAS WILL THE PROJECT ADDRESS,,3374
,CLIENT/STAFF/BOARD DEMOGRAPHICS,,3405
GRANT OVERVIEW INFORMATION,RELATED FUND,,10641
,Attach your organization's Year-to-Date Budget,,3398
,Attach management letter (if not already included in audit),,3401
,"Beyond financial, are there other resources you would like to see
    the <REDACTED> Foundation provide in support of the partnership",,3394
,Ethnicity Served,,3373
,"How will the project be supported beyond the grant partnership with
    the <REDACTED> Foundation? Please include partnerships and funders",,3384
,How would you like to enter Budget Information,,3404
DEMOGRAPHICS,"Project Type: 
Region Served:
Ethnicity Served:",,3370
,"Please upload any relevant documentation to the
proposal here. PDF format preferred",,10685
,"Does your organization have an equity statement that communicates
    your pursuit of anti-racist practices and aspirations toward equity",,3377
,"How will you know if the proposed solution is making progress on
      achieving equity",,3382
,"Describe the racial equity practices, programs or initiatives in
      which your organization is presently engaged

- internally and externally",,3392
,"Attach the most recent annual financial audit. If an audit is not
available, please attach a certified financial statement",,3400
,"Please upload any relevant documentation to the
proposal here",,3402
,"the people and communities you are working with
    (demographics, their strengths, and their concerns)",,3388
,Region Served,,3372
,"How does this proposed solution disrupt the conditions (policies,
    practices, institutions, culture and power) that hold the inequity
    in place",,3386
,"How have the individuals experiencing the inequity been engaged in
    creating the proposed solution and what leadership role will they
    play throughout the implementation and evaluation",,3380
,Total Project Cost,,3367
,"Is anyone excluded from services, employment or volunteer
        participation based on their age, ability, economic
        circumstance, education, race, criminal record, ethnicity,
        gender, gender identity or expression, sexual orientation",,3375
,"What forms of diversity (gender, cultural, religious,
    immigrant/refugee background, linguistic, etc.) do you think are
    important for strengthening the proposed solution and why? Does your
    organization's staff and governance reflect this diversity",,3396
,"If your organization is not led by people of color, how are people
    of color sharing in the leadership of the proposed solution? If
    people of color are not sharing in the leadership, why not",,3390
,APPLICATION NAME,,4518
,"If you were referred by another organization or individual, please list
the name of the organization or individual below.

If you selected Other, please explain",,13545
,Is Your Organization Recognized Under 501(c)(3),,4545
,Board Information,,4542
,Annual Operating Budget,,4446
,Impact Success,,4736
,How can we improve,,4713
,Annual Budget Upload,,4540
,What went well?,"What went well in this work? What, if anything, was serendipitous?",4727
,What went wrong?,"On the flip side, did you encounter any unexpected hurdles or challenges? (We're not interested in assigning blame here--just to understand how program or operational expectations may have changed because of unforeseen circumstances. You can't predict a hurricane, for example, but hurricanes can drastically alter one's summer camp plans...)",4729
,Updated Financial Records,,4688
,State of Maryland Compliance,,4693
,What are you most excited about in this work,,4686
,501(c)(3) Determination Letter,,4551
,501(c)(3) Description,,4549
Enter the amount of grant funds unused at the time of this final report.,"If the amount entered in the question above is greater than $0, please
provide an explanation.",,4725
,Approximately how many hours did it take you to complete this grant application,,4577
,Additional Support,,4711
,Fiscal Year Start,,4532
,Brief Description of Funding Request,,4442
,What's going on?,"What's going on in your world? What are you working on, what are you thinking about, what are you planning for? How are your clients, if you are an organization with clients, and how are your programs and projects going? Consider this the text-box equivalent of meeting up with us for a super informal cup of coffee (which, when public health situations allow us to do so again, we'd love to do!) or a phone call or Zoom catch-up. It's open- ended on purpose (there are no wrong answers!); we just want to hear how things are going in your world.",4708
,Which of these funding areas is a fit for your request,,4747
,NTEE Codes (list),,4530
,Grant Funds Remaining,,4723
,Referred by another non-profit organization,"If you were referred by another organization or individual, please list the name of the organization or individual below.",13180
,Geographic Area Served,,4423
,Additional Financial Upload,,4691
,What advice would you give to another organization doing the same work,,4732
"If you are not a Maryland-based organization, do you have authorization from the state in which you are incorporated or registered as a non-profit organization/public charity/etc., to solicit for and accept donations from Maryland residents and/or organizations? Yes No","If you selected ""No"" above, please explain:",,4569
,Narrative Letter of Inquiry,,4452
,Grant Period Start Date,,4448
,"Is your organization in current compliance with the State of Maryland’s
Charitable Organizations Division by having submitted a Maryland
Registration Statement Form (COR-92) and/or Annual Update of
Registration Form, or an Exempt Organization Fundraising Notice with the
Office of the Secretary of State",,4565
,Impact Indicators,,4560
,Submission Authorization,,4571
"Other Referred by a <REDACTED> Foundation board member or staff person Referred by another foundation or funder Referred by another non-profit organization If you were referred by another organization or individual, please list the name of the organization or individual below.","If you selected Other, please explain.",,4875
,How did you hear about us,,4506
,Who else is doing great work,,4715
,Organizational and Program Updates,"In your original grant application, you were asked to submit information about your organization as a whole (what are you aiming to accomplish; what are your strategies for making this happen; what are your capabilities for doing so; how will you know you are making progress; what has and has not yet been accomplished). Please use this space to indicate any changes to these answers you would like us to be aware of, as well as any key program highlights or updates.",4683
,Budget/Financial Account,,4720
,Application Name,,4440
,Grant Period End Date,,4450
,"Letter(s) of endorsement from an appropriate administrative officer
    or office of the applicant (e.g., president or provost, dean,
    sponsored research officer, etc.) {attach letter}",,5273
,Total amount of project budget,,5268
,"If this project is intended to continue beyond the grant period, please
describe how the organization intends to support the project in the
longer-term",,5265
,"Please briefly describe your organization; or, if a department within a
much larger organization, describe your particular unit",,5250
,Executive summary (no more than 500 words),,5252
,"If this project requires IRB approval, please indicate whether you have
secured approval. If not, please explain",,5267
,Executive summary,,14560
,"Other existing or potential sources of funding (including contributions
by your organization)",,5270
,Project end date,,14557
,Other materials referred to in the proposal,,14585
,Detailed project budget {budget template to be provided},,5271
,"Letter(s) of endorsement from an appropriate administrative officer
    or office of the applicant",,14581
,"Explain how the project relates to work in the field generally and will
advance the field",,5259
,Project Leader or Principal Investigator {attach CV},,5241
,"Other key team members [names, titles, and affiliations (if based at
another institution)]",,5248
,"Please describe how the project will be evaluated and describe the
benchmarks of success you will use in assessing the project",,5263
,"Explain how the project relates to current or previous work of your
organization",,5257
,"Of total project budget, amount sought from the <REDACTED> Foundation",,5269
,"Please describe anticipated project outcomes/impact and specific
deliverables",,5261
,Project start date,,5246
,Phone number,,5244
,"Explain how the project relates to the priorities and goals of the <REDACTED>
Foundation program to which you are applying",,5255
,Project end,,5247
,"Detailed project timeline (showing key dates in project development and
implementation)",,5272
,Other key team members,,14558
,"Please provide a detailed description of the project, including its
goals and significance, methodology, and specific activities to be
undertaken",,5253
EXECUTIVE DIRECTOR (PRESIDENT/CEO) CONTACT INFORMATION,Re-enter to Verify ED Email,,2056
,How much of your work will be done in or serve each of the regions listed below,,2148
,Where will this work take place,,8553
,Your Community,"Tells us about the geographic and cultural context of your work. Where do you work, with whom, and how?",2125
,ADDITIONAL ORGANIZATION CONTACT INFORMATION,,2092
,"City, State Where Bank is Located",,2280
"Each ""Title"" in the drop-down menu can be used more than once if any of your financial documents listed above are separate files. The top of your screen will display a list of files you have properly uploaded for submission. The maximum size for all attachments combined is 25 MB. Please note that files with certain extensions (such as ""exe"", ""com"", ""vbs"", or ""bat"") cannot be uploaded. Title: Organization Previous Year Budget",File Name,,2297
,Fiscal Year End Date,,2063
GENDER,All Staff %,,2184
,Re-enter to Verify Request Contact Email,,2081
,Request Contact Direct Phone Number,,2082
"DEI Information In order to further the <REDACTED> Foundation's mission to improve the quality of life for present and future generations, it is imperative that we address disparities inequities within our organization and through our work in communities. Towards this end, we have made an organizational commitment to diversity, equity, and inclusion. We see an ongoing need to gather information and invite a conversation with our applicants and grantees that explores the following questions:",What and whom are we missing?,,2169
,"Does this grant request decrease disparities and/or advance equitable outcomes for an historically marginalized or disinvested racial, cultural, or socioeconomic grants? Please select yes or no.",,8693
"Does this grant request decrease disparities and/or advance equitable outcomes for an historically marginalized or disinvested racial, cultural, or socioeconomic grant(s)? Please select yes or no.","If yes, please briefly describe how here.",,8701
,Is there additional information about the diversity of your organization that you would like to share? Please select yes or no.,,8695
,"Is your organization led by Black, Indigenous, or People of Color (BIPOC)",,2171
,ED Direct Phone Number,,2057
,"Is there other contextual information about this grant request that is important to understand relative to diversity, inclusion, and/or equity",,2267
,"for all requests - organization's budget for the previous year, showing actual income and expenses",,8726
,Please help us better understand the diversity of your organization by providing data for all that apply,,8614
<REDACTED> currently defines BIPOC-led groups as those for whom at least three of the following are true.,"Please check any of the following criteria that apply to your organization:

50 percent of senior staff are BIPOC-identified
50 percent of board members are BIPOC-identified
Organization has BIPOC leadership (executive/senior level) and is implementing DEI initiatives and/or navigating organizational transition for greater equity in programming/oper
Group mission explicitly focuses on BIPOC communities
Project and/or initiative is being led by a majority of BIPOC-group members",,8602
GENDER Women,Senior Leadership %,,2183
,"Is there other contextual information about this grant request that is important to understand relative to diversity, inclusion, and/or equity? Please select yes or n",,8699
Capacity Building,"Are there any additional resources, partnerships, or skill sets you need to support this work?",,2163
,Is there additional information about the diversity of your organization that you would like to share? Please select,,8680
"To complete your application, you must use the tool below to attach the following financial documents. You may only submit files as MS Excel or PDF.","* for program/project, capital, or multiple types of support requests 
 detailed budget for the first year of requested funding for program/project, capital, or multiple types of support requests statement of activities (income and expenses), showing",,8730
,Indications of Progress,,2158
,Do our grants help to decrease disparities and/or advance equity,,2168
,Organization Previous Year Budget,,2296
,"for all requests - statement of financial position (balance sheet), showing year-to-date actual assets and liabilities",,8728
,Social Media Handles,,2098
,Number of Months Requesting Funding,,2113
,Additional Contact Email Address,,2097
,Request Contact Zip Code,,2091
,Committed Funds,,2121
,Federal Tax ID Number,,2033
,Bank Routing Number (ABA #),,2277
,Request Contact Street Address,,2086
Activities,Tell us what you are going to do to make progress toward the goals you named above.,,2156
,Bank Account Number,,2282
,Request Contact City,,2087
,Re-enter to Verify Federal Tax ID Number,,2035
,Request Contact Email,,2079
,ED Prefix,,2050
,Total Organization Expenses from Last Fiscal Year,,2066
,ED Extension,,2058
"Authorization By submitting this request to the <REDACTED> Foundation on behalf of your organization's Executive Director (President/CEO), you attest that all relevant staff have reviewed this application and the information is accurate and complete.",Yes/No,,2026
,for all requests - most recent certified financial audit (only if your organization is required to conduct an annual audit),,8729
,ED Email,,2055
,Board of Directors List,,2047
,Your Field or Movement,,2154
,Organizational Overview,,2061
,Bank Information,,2025
,Additional Contact Last Name,,2095
,Additional Contact First Name,,2094
,Bank Account Name,,2287
,Organization State,,2039
,Organization City,,2037
,Does your organization currently collect demographic data for board and/or staff,,2178
,ED Middle Initial or Name,,2052
,Name of Bank or Financial Institution,,2279
,Program Strategies,,2100
,Finance Staff Full Name,,2273
ORGANIZATION INFORMATION,Does your organization currently collect demographic data for board and/or staff? Please select yes or no for both Board and Staff.,,8681
,Finance Staff Email,,2275
,Does your organization have an approach to creating an inclusive workplace? Please select yes or no,,8684
,Potential Funding,,2123
,Organization Website,,2045
Partnership,Describe your most important partnerships. Why are they important to your work? What other partnerships or connections would enhance your work?,,2161
,GEOGRAPHIC AREA SERVED BY THIS REQUEST,,2127
,Total Organization Income from Last Fiscal Year,,2065
,REQUEST CONTACT INFORMATION,,2071
,ED First Name,,8480
,Additional Contact Job Title,,2096
,Are the organizations that we fund diverse and inclusive relative to their context,,2167
,What is the scale of the intended impact of this grant request,,2252
,Organization Zip Code,,2041
,Type of Funding Support Requesting,,2106
,Request Information,,2023
,Organization Street Address,,2036
,Request Contact Title,,2078
,Request Contact Last Name,,2077
,Purpose of Request,,2111
,Popular Name of Organization,,2031
,Type of Account (Checking or Savings),,2284
,ED Last Name,,2053
,ED Title,,2054
,Request Contact Prefix,,2073
,Type of Account,,8713
,Request Contact Middle Initial or Name,,2076
,Summary of Request,,2119
,Percent of Budget Requested,,2117
,Legal Name of Organization,,2030
,Request Contact Extension,,2083
,Total Program/Project Budget,,2115
,Strategies,,3851
,Primary Contact,,3792
,"What Ratios/Constraints Do You Have, Including Key Donors",,3834
Is Your Funding Restricted/Unrestricted?,"What Ratios/Constraints Do You Have, Including Key Donors?",,12353
,Languages Spoken by Your Organization and Beneficiaries,,3801
,Who Are the Beneficiaries of Your Services,,3799
,Current Technology--Describe What You Use Today,,3807
,# of Volunteers,,12329
,Describe the Devices and Operating System Endpoints of Your Associates and Beneficiaries,,3838
,Current Annual IT Budget,,3805
,"Does Your Organization Commit to Managing the Solution (Staff, Licensing, etc.) on Your Own Once It’s Implemented",,3823
,What Geographies Do You Serve,,3800
,Goal/Impact Statement,,3850
,List Your Milestones for Yearly Fundraising and Impact,,3831
,How Does This Project Support Broader Partnership Objectives Between Your Organization and <REDACTED>,,3810
,How Do You Allocate Funding,,3832
,Provide an Overview of the Data (Content or Data) Currently Collected. How and Where Is the Information Stored,,3839
,What Non-PI Information or Data Do You Access While Executing Your Mission,,3843
,You Have a Formal Data Classification and Retention Policy,,3841
,"Approximately, How Much Budget Are You Able to Contribute to the Project",,3813
,Do You Have industry or Government Data Privacy Regulations,,3835
,Outcome Metrics,,3854
,Nonprofit Resources,,3856
,List Your technology Portfolio,,3845
,Phone Number,,3790
,IT Budget’s % of Total Budget,,3806
,"Other Stakeholders (Volunteers, Partners) Who Can Contribute",,3818
,Describe Your Current IT Needs or Proposed Project/Initiative,,3809
,How Is Your Current Technology Hindering You From Achieving Your Mission,,3808
,"Do You Share Information with Other Agencies? If so, Who",,3844
,<REDACTED> Status,,3795
,"Are you a member of <REDACTED>, our grant management tool",,3796
,What Key Performance Indicators (KPIs) Are Associated with Your Strategic Goals,,3830
,Tax ID/EIN (US) or Local Tax ID,,3794
,Financial Overview,,3837
,Secondary Contact (if Applicable),,3793
,# of Paid Staff,,12328
,Locations of Additional Branches (if Applicable),,3791
,List the Various Paid Staff Roles,,3828
,# of Paid IT Staff,,12330
,Name of Your Organization,,3788
,Is the Project a Strategic Organizational Priority,,3815
,# of Staff You Will Dedicate to This Project,,3817
,Will You Work with <REDACTED> and the Technology Partner to Share the Core Solution’s Intellectual Property (IP) for the Benefit of the Nonprofit Community,,3825
,Have you registered as a <REDACTED> nonprofit,,3797
,Have You Previously Engaged with <REDACTED> on This Project,,12346
,List Any External Factors that Could Impact the Proposed Project,,3848
,Current Period Outputs,,3853
,Describe Your Organization’s Culture,,3827
,Is Your Funding Restricted/Unrestricted,,3833
,Risks,,3855
,Current Period Activities,,3852
,Do You Have Active Grants with <REDACTED>,,3820
,Do You Have an Estimated Cost for This Project,,3811
,Do You Have an Approximate Timeline for Completing This Project,,3812
,Tax ID/EIN (US),,12319
,Local Tax ID,,12320
,How Will This Project Impact/Improve Your Mission,,3821
,What Is the Ideal Timeline for This Project,,3847
,"Please Provide the Latest Strategic Plan Including Your Mission, Vision, and Values",,3829
,What Metrics Will you Use to Measure Project Success,,3822
,"Are There Any Areas that Could Prevent Your Full Commitment (ie, Budget, Staff, Leadership Support, Competing Priorities, Time)?",,3819
,Describe Your Organization’s Mission,,3798
,Other Major Pain Points or Challenges Relevant to This Project,,3849
,Has the Project Already Begun or Been Attempted Before,,3816
,Does the Project Have CEO and/or Board Support,,3814
,What Policies Govern Data in Your Organization,,3840
,Is There External Access,,3842
,Factors Driving the Need for This Project? Why Change and Why Now,,3846
,Describe Your Revenue Model,,3836
,Please Summarize Your Organization’s Background and History,,3826
,Will You Commit to Providing a Public Version of the Dream Book to Be Referenced by Other Nonprofits and Published on <REDACTED> Solutions Center,,3824
,"CONSTITUENTS | WHO ARE THE PEOPLE AND COMMUNITIES YOUR ORGANIZATION OR
PROJECT BUILDS POWER WITH AND FOR? HOW IS YOUR ORGANIZATION/PROJECT
BEING LED BY COMMUNITY MEMBERS WITH LIVED EXPERIENCE IN THE ISSUES YOU
ADDRESS",,7566
,"PLANNED ACTIVITIES | WHAT ARE SOME SPECIFIC EXAMPLES OF ACTIVITIES YOU
PLAN TO DO IN THE PROPOSED GRANT PERIOD",,7572
,"SYSTEMS CHANGE GOALS AND SOLUTIONS | WHAT SYSTEMS DO YOU INTEND TO
CHALLENGE OR CHANGE AS PART OF COVID RECOVERY? WHAT ARE THE SHORT-TERM
GOALS AND THE LONG-TERM SOLUTIONS YOU ARE WORKING TOWARD",,7569
,"ANYTHING ELSE? | IS THERE ANYTHING ELSE YOU’D LIKE TO TELL US ABOUT YOUR
ORGANIZATION AND ITS WORK THAT WE DIDN’T GIVE YOU A CHANCE TO SHARE
ELSEWHERE IN THIS PROPOSAL",,7577
,YOUR PARTNERS | WHAT (NON-FUNDING) ORGANIZATIONS/COALITIONS DO YOU CONSIDER YOUR MOST CRITICAL PARTNERS IN YOUR WORK TO ADVANCE SYSTEMS CHANGE AND WHAT ROLE DO THEY PLAY?,,7574
,"YOU
CONSIDER YOUR MOST CRITICAL PARTNERS IN YOUR WORK TO ADVANCE SYSTEMS
CHANGE AND WHAT ROLE DO THEY PLAY",,7575
,PLANNED ACTIVITIES,,1848
,Balance Sheet,,1571
,Organization Legal Name,,1415
,"Have there recently been, or do you anticipate, any organizational or
leadership changes",,1544
,Volunteer Hours,,1528
,Enter your business title,,1457
,Similar Programs,,1540
,Budget Comments,,1413
,_Physical Address,,1536
,Year Organization Incorporated,,1471
,Full Time Equivalent (FTE) Employees,,1525
,Evaluation,,1554
,Organization's General Purpose,,1401
,Clients served,,1538
,"What are the long-term funding plans for your organization's operating
budget",,1546
,Community Engagement,,1550
,Please describe your specific workplan as it relates to your request,,1551
,Organization name as registered with the IRS,,1469
,_Full Time Equivalent (FTE) Employees,,1641
,Audited Financial Statements or 990,,1573
,Capital Budget (if applicable),,1569
,Date of Signature,,1459
,Additional Information,,1651
,Corporate and Foundation Contributions,,1576
,How do you achieve your stated goals and objectives,,1552
Planning,To what extent are you engaging in long-term planning and/or strategic planning? Please provide a brief highlight of your most recent strategic plan.,,1542
,Primary Geographic Area,,1418
,Secondary Geographic Area,,1434
,Organization Budget,,1409
,"What opportunity, issue or need are you trying to address with this
request",,1548
,"Enter your business title
i.e., Executive Director",,6875
,Name of Executive Director,,1416
,Executive Director Resume,,1513
,What is your plan for future funding of this project,,1558
,Financial Narrative,,1567
,IRS Determination Letter,,1450
,Salary,,1519
,Executive Director/CEO Salary,,1515
,Signature,,1454
,Governing Board,,1532
